id	pvalue	log2FoldChange
AGMO	4.09E-123	-1.23 
CKB	3.48E-26	-1.23 
CCT8	6.60E-34	-1.23 
ACTL6A	4.98E-159	-1.22 
ACD	4.35E-191	-1.22 
ACAP2	6.43E-194	-1.22 
CYB5R1	5.20E-19	-1.22 
ABHD6	3.85E-208	-1.21 
CYP7B1	7.95E-19	-1.21 
ACOT9	3.43E-175	-1.20 
EFNA2	2.51E-15	-1.20 
AFF1	1.44E-126	-1.20 
GNG5	5.05E-10	-1.19 
ADA	2.35E-148	-1.18 
AGO2	7.16E-123	-1.18 
CD9	7.24E-31	-1.18 
CALML6	4.40E-42	-0.57 
ATP1A2	2.00E-63	-0.57 
CD53	5.46E-32	-0.57 
ETS1	2.42E-13	-0.57 
AR	4.21E-81	-0.57 
EFNA1	2.49E-15	-0.57 
GDF3	1.52E-10	-0.40 
FBP1	7.82E-13	-0.40 
IGF2	1.04E-07	-0.36 
H2BC5	3.63E-09	-0.36 
FHL1	5.17E-12	-0.36 
GAP43	7.24E-11	-0.36 
HOXB3	2.40E-08	-0.36 
HECW1	8.19E-09	-0.36 
IL1RN	2.21E-07	-0.36 
HP	2.42E-08	-0.36 
HCFC1	6.48E-09	-0.36 
EIF2AK2	4.60E-15	-0.36 
CSF2	7.98E-21	-0.36 
CIB2	1.54E-26	-0.36 
COX7A1	8.31E-23	-0.36 
GRIN1	1.83E-09	-0.36 
ITPK1	7.22E-07	-0.36 
CPEB4	2.29E-22	-0.35 
GPAM	6.59E-10	-0.35 
ITPR3	7.65E-07	-0.35 
IL11RA	1.47E-07	-0.35 
GAS7	7.36E-11	-0.35 
HPGDS	2.51E-08	-0.35 
CYCS	5.99E-19	-0.35 
ENAH	3.05E-14	-0.35 
EMP3	2.88E-14	-0.35 
LARP1	4.00E-06	-0.35 
CLU	4.39E-25	-0.35 
CTTN	1.41E-19	-0.35 
ENY2	3.99E-14	-0.35 
HDAC11	6.60E-09	-0.35 
CMA1	5.41E-25	-0.35 
DLGAP5	5.47E-17	-0.35 
IFI44L	5.87E-08	-0.35 
KEAP1	1.67E-06	-0.35 
INPP5K	4.23E-07	-0.35 
DRD2	4.36E-16	-0.35 
GSTO1	2.42E-09	-0.35 
GABRG3	5.10E-11	-0.34 
HSPH1	3.85E-08	-0.34 
EYA1	3.68E-13	-0.34 
IGFBP5	1.18E-07	-0.34 
E2F3	1.27E-15	-0.34 
AVEN	6.09E-58	-0.34 
GBP5	1.29E-10	-0.34 
HHAT	1.08E-08	-0.34 
JARID2	8.66E-07	-0.31 
BMP7	3.39E-51	-0.31 
HBEGF	6.27E-09	-0.31 
FAM177A1	5.69E-13	-0.31 
FUCA2	2.68E-11	-0.31 
GSTP1	2.45E-09	-0.31 
DHRS4	2.39E-17	-0.31 
IL1RL2	2.20E-07	-0.31 
LDLR	4.49E-06	-0.31 
CTSC	8.05E-20	-0.31 
DNAJC3	1.21E-16	-0.31 
IFT57	8.99E-08	-0.31 
ERCC6	1.54E-13	-0.31 
EPS15L1	1.20E-13	-0.31 
IFNL2/3	8.66E-08	-0.31 
LMF2	0.386270069	-0.30 
ERP29	1.92E-13	-0.30 
JADE1	8.07E-07	-0.30 
LGALS1	0.378771922	-0.30 
CD22	4.15E-33	-0.30 
COL5A3	7.95E-24	-0.30 
KPNA6	2.89E-06	-0.30 
INO80E	4.06E-07	-0.30 
GPBAR1	6.81E-10	-0.30 
GRIA2	1.59E-09	-0.30 
DAPP1	1.49E-18	-0.29 
KPNA5	2.82E-06	-0.29 
GINS2	1.89E-10	-0.29 
IMMT	3.57E-07	-0.29 
ITCH	5.79E-07	-0.29 
FAM3C	6.12E-13	-0.29 
IL34	2.73E-07	-0.29 
KRT80	3.32E-06	-0.29 
GPR160	8.67E-10	-0.29 
HSP90B1	3.04E-08	-0.29 
IPO5	4.77E-07	-0.29 
KLF5	2.16E-06	-0.28 
IMPDH2	3.73E-07	-0.28 
IFNE	7.78E-08	-0.28 
KLKB1	2.43E-06	-0.28 
IFITM1	6.47E-08	-0.28 
IL36B	2.79E-07	-0.28 
H4C3	3.89E-09	-0.28 
KMT2D	2.65E-06	-0.28 
GOT2	5.99E-10	-0.27 
INPP5D	4.19E-07	-0.27 
HACE1	4.33E-09	-0.27 
GABARAPL1	3.90E-11	-0.27 
COL4A5	6.44E-24	-0.27 
ITGA9	6.17E-07	-0.27 
FOXC1	1.97E-11	-0.27 
CXCL5	3.90E-19	-0.27 
HERPUD2	9.50E-09	-0.27 
HDGF	6.94E-09	-0.27 
GZMB	3.53E-09	-0.26 
KCND2	1.17E-06	-0.26 
GLIPR1	2.39E-10	-0.26 
HSD17B8	2.96E-08	-0.26 
AQP4	1.34E-82	-0.26 
HES4	9.72E-09	-0.26 
EXOG	3.04E-13	-0.26 
GLO1	2.56E-10	-0.26 
LMBR1L	0.386228399	-0.25 
KALRN	9.62E-07	-0.25 
FBXW8	1.48E-12	-0.25 
IL36A	2.73E-07	-0.25 
LCLAT1	4.08E-06	-0.25 
HDAC2	6.61E-09	-0.25 
DSG3	5.75E-16	-0.25 
IL22RA2	2.24E-07	-0.25 
IFT140	8.85E-08	-0.25 
KCNJ3	1.34E-06	-0.23 
CYTH4	1.00E-18	-0.23 
GAD2	5.20E-11	-0.22 
KRT6B	3.27E-06	-0.22 
IRF4	5.42E-07	-0.22 
LIAS	0.381558799	-0.22 
LHFPL6	0.38065093	-0.21 
LILRA1	0.382264257	-0.21 
HDAC8	6.63E-09	-0.21 
LAMC2	3.83E-06	-0.21 
JCHAIN	8.86E-07	-0.21 
ETV7	2.90E-13	-0.21 
H2AZ1	3.57E-09	-0.20 
KANSL2	9.64E-07	-0.20 
LDHB	4.45E-06	-0.20 
GRM3	1.96E-09	-0.20 
LGR4	0.37980425	-0.12 
GUCY1B2	3.27E-09	-0.10 
LIN28A	0.383533305	-0.10 
LMAN1	0.384855672	-0.09 
LGALS2	0.379107772	-0.07 
LIF	0.38199348	0.06 
LILRB2	0.383482717	0.14 
IL17A	1.54E-07	0.17 
LIN54	0.383949652	0.17 
LGR5	0.380441435	0.17 
GTF2F2	2.49E-09	0.17 
LMAN2	0.386020514	0.17 
ICAM2	4.73E-08	0.18 
ENSA	3.77E-14	0.18 
LEPR	0.378548891	0.18 
JMJD1C	9.09E-07	0.21 
LINC02446	0.384307669	0.21 
IL5RA	2.93E-07	0.21 
ETFDH	2.30E-13	0.34 
IL17C	1.57E-07	0.35 
IGHG1/2	1.21E-07	0.35 
CRYAB	4.27E-21	0.35 
IL1R2	2.15E-07	0.35 
CTLA4	4.02E-20	0.35 
LEP	0.377903895	0.35 
ELOVL1	1.67E-14	0.36 
ESCO1	2.11E-13	0.36 
HMGCS2	1.58E-08	0.36 
CPPED1	3.60E-22	0.36 
DUSP10	8.30E-16	0.36 
IGLV3-21	1.31E-07	0.36 
FUS	2.85E-11	0.37 
ICAM5	5.01E-08	0.37 
KYAT1	3.53E-06	0.37 
CD1A	1.93E-33	0.37 
FRS2	2.14E-11	0.37 
IL9R	3.52E-07	0.37 
IL22RA1	2.24E-07	0.37 
EIF2S1	6.08E-15	0.37 
FSHB	2.47E-11	0.37 
DNAH14	8.01E-17	0.37 
COPS7A	4.32E-23	0.37 
KYAT3	3.57E-06	0.38 
ATF3	1.76E-66	0.38 
KRT15	2.98E-06	0.38 
KIRREL3	1.97E-06	0.38 
FRYL	2.16E-11	0.38 
HERC4	8.72E-09	0.38 
HECTD3	7.61E-09	0.38 
CRTC3	3.54E-21	0.38 
FGF14	2.64E-12	0.39 
HLA-G	1.36E-08	0.39 
IDH3A	5.51E-08	0.39 
GUCY1B1	3.15E-09	0.39 
IL6R	2.98E-07	0.39 
EHHADH	4.08E-15	0.39 
IFIT3	6.28E-08	0.40 
IGHM	1.27E-07	0.40 
KRT16	3.00E-06	0.40 
HLA-DPB1	1.25E-08	0.40 
DLL1	5.98E-17	0.40 
KLHL2	2.18E-06	0.40 
FCER2	1.75E-12	0.40 
HAUS1	5.82E-09	0.41 
GNG4	4.87E-10	0.41 
AXIN2	8.29E-57	0.41 
DYNC2H1	1.05E-15	0.41 
EDN1	2.07E-15	0.41 
IDH1	5.47E-08	0.41 
FGF22	3.27E-12	0.41 
GPR158	8.40E-10	0.41 
CDC40	1.56E-30	0.42 
IGFBP6	1.18E-07	0.42 
DDHD2	6.29E-18	0.42 
HELZ2	8.63E-09	0.42 
HIPK1	1.14E-08	0.42 
FZR1	3.46E-11	0.42 
ITGAL	6.17E-07	0.42 
IQGAP1	4.77E-07	0.43 
FKBP2	6.26E-12	0.43 
CCR9	4.76E-34	0.43 
CCS	5.87E-34	0.43 
KCNQ3	1.43E-06	0.44 
CDC16	9.35E-31	0.44 
HLF	1.37E-08	0.44 
HOXA9	2.13E-08	0.45 
CD44	2.73E-32	0.45 
JMJD6	9.28E-07	0.45 
ARHGDIB	7.79E-76	0.51 
CEP63	5.61E-28	0.51 
KANSL1	9.63E-07	0.52 
CDC14A	7.50E-31	0.52 
FAS	6.76E-13	0.52 
EYA4	3.80E-13	0.52 
FUNDC1	2.79E-11	0.52 
IRAK1	5.05E-07	0.66 
HSPA1A	3.09E-08	0.66 
GNB5	3.86E-10	0.66 
GATM	9.34E-11	0.66 
HTR2A	3.90E-08	0.67 
DHX15	2.45E-17	0.67 
CDK7	1.52E-29	0.67 
EPHA6	6.85E-14	0.67 
DOCK8	1.89E-16	0.67 
INHBC	3.99E-07	0.67 
GRIA1	1.54E-09	0.68 
KDM7A	1.60E-06	0.68 
EIF3J	9.99E-15	0.68 
CAPNS1	4.58E-40	0.68 
ATP5MJ	1.85E-60	0.68 
LAIR2	3.72E-06	0.69 
DDB1	5.56E-18	0.69 
CADPS	2.26E-43	0.69 
CD82	5.81E-31	0.75 
ATF4	4.42E-66	0.90 
CNTN5	1.83E-24	0.90 
DGKI	2.01E-17	0.91 
KSR2	3.53E-06	0.91 
ADD2	7.99E-138	0.91 
IL1B	1.93E-07	0.91 
ANGPTL3	2.45E-102	0.92 
COL17A1	3.09E-24	0.92 
IFNL1	8.17E-08	1.01 
KCNQ5	1.45E-06	1.02 
IKBKE	1.38E-07	1.02 
CXCL13	1.91E-19	1.02 
HMGN1	1.58E-08	1.02 
EIF4EBP3	1.00E-14	1.03 
KDM6A	1.54E-06	1.04 
CSF2RB	8.01E-21	1.04 
ATG7	1.12E-63	1.05 
CCNH	7.57E-35	1.05 
KPNA1	2.79E-06	1.05 
CAVIN2	1.87E-38	1.06 
KMT2C	2.57E-06	1.06 
KAT6A	1.09E-06	1.07 
ANKRD28	1.20E-101	1.08 
CRLF2	2.50E-21	1.08 
CYFIP1	6.32E-19	1.08 
H3-3A	3.67E-09	1.08 
ATP5F1E	9.55E-62	1.09 
ASXL1	1.30E-66	1.09 
CDKN1A	1.57E-29	1.10 
HSPA9	3.60E-08	1.10 
FLNC	1.06E-11	1.10 
IFNA2	6.89E-08	1.10 
DDB2	5.69E-18	1.11 
ARHGAP22	2.06E-76	1.12 
HACL1	4.33E-09	1.12 
KCNJ4	1.39E-06	1.12 
ATF1	1.40E-66	1.12 
ERBIN	1.28E-13	1.12 
ADRA2A	5.47E-128	1.12 
FBLN5	7.19E-13	1.12 
EPN1	9.35E-14	1.13 
BRCA2	2.75E-50	1.13 
ACY1	1.56E-149	1.14 
BTLA	6.47E-49	1.15 
AGT	8.66E-118	1.15 
FGF21	3.14E-12	1.15 
ACSS3	7.33E-164	1.15 
EPCAM	6.03E-14	1.15 
LDHA	4.38E-06	1.15 
FCGBP	1.77E-12	1.16 
IST1	5.67E-07	1.16 
FGF1	2.27E-12	1.16 
GADL1	5.45E-11	1.17 
COL6A1	8.20E-24	1.17 
CNST	1.09E-24	1.18 
ATOX1	1.35E-63	1.18 
DHCR24	2.04E-17	1.19 
CXCL14	3.35E-19	1.20 
CRTC1	3.05E-21	1.22 
ADAM28	1.88E-142	1.22 
ANTXR2	2.24E-100	1.24 
BDNF	2.18E-53	1.24 
ACVRL1	2.07E-152	1.24 
CAMP	3.35E-41	1.25 
CCBE1	4.74E-38	1.28 
EDEM2	1.78E-15	1.31 
AQP1	3.27E-83	1.33 
CTCF	2.50E-20	1.33 
GLI1	2.29E-10	1.37 
ADIRF	8.54E-129	1.39 
ACAT2	4.25E-191	1.40 
COL6A3	8.71E-24	1.41 
GDF11	1.40E-10	1.42 
ATP1A3	2.56E-63	1.43 
IFNA4/10/17	6.97E-08	1.43 
AP2M1	2.20E-95	1.45 
AZI2	2.90E-56	1.46 
ADD1	3.67E-138	1.47 
GPNMB	8.14E-10	1.50 
CROT	2.81E-21	1.50 
IKZF1	1.40E-07	1.52 
DNAJA2	1.01E-16	1.54 
CD74	3.69E-31	1.56 
CHID1	2.45E-27	1.57 
CDT1	2.42E-29	1.62 
CASP3	1.40E-39	1.63 
ANGPTL2	1.44E-102	1.63 
CTSD	8.55E-20	1.65 
CD59	1.09E-31	1.66 
ASH1L	1.41E-68	1.66 
CDC14B	7.66E-31	1.67 
ARHGAP12	3.39E-79	1.68 
DNTT	1.82E-16	1.76 
IL10RA	1.43E-07	1.80 
ADH1B	3.80E-129	1.81 
ADRA1B	3.99E-128	1.85 
ALDH1A3	1.06E-110	1.86 
CDC73	2.37E-30	1.91 
AGPAT5	7.24E-119	1.91 
AGER	1.69E-125	2.01 
CELSR2	7.35E-29	2.04 
CCL26	1.18E-36	2.06 
ALOX15B	7.77E-106	2.95 
