Source	Target	Weight
Name39	Name6	62.3 
Name39	Name7	73.1 
Name39	Name8	23.7 
Name39	Name9	4.7 
Name39	Name10	71.1 
Name39	Name11	38.8 
Name39	Name12	16.1 
Name39	Name13	25.7 
Name39	Name14	0.0 
Name39	Name15	16.3 
Name39	Name16	32.6 
Name39	Name17	4.7 
Name39	Name18	22.5 
Name39	Name19	6.2 
Name39	Name20	22.7 
Name39	Name21	91.6 
Name39	Name22	6.6 
Name39	Name23	31.4 
Name39	Name24	18.1 
Name39	Name25	2.3 
Name39	Name26	4.8 
Name39	Name27	59.4 
Name39	Name28	4.1 
Name39	Name29	1.2 
Name39	Name30	30.7 
Name39	Name31	7.6 
Name39	Name32	2.9 
Name39	Name33	1.1 
Name39	Name34	2.5 
Name39	Name35	7.4 
Name39	Name36	3.3 
Name39	Name37	12.9 
Name40	Name1	110.9 
Name40	Name38	93.9 
Name40	Name39	75.6 
Name40	Name41	188.5 
Name40	Name2	116.2 
Name40	Name3	89.4 
Name40	Name4	38.6 
Name40	Name5	23.3 
Name40	Name6	30.4 
Name40	Name7	33.4 
Name40	Name8	30.8 
Name40	Name9	8.0 
Name40	Name10	13.0 
Name40	Name11	5.4 
Name40	Name12	15.7 
Name40	Name13	22.8 
Name40	Name14	1.1 
Name40	Name15	41.9 
Name40	Name16	12.1 
Name40	Name17	6.8 
Name40	Name18	8.3 
Name40	Name19	12.7 
Name40	Name20	6.0 
Name40	Name21	15.4 
Name40	Name22	2.2 
Name40	Name23	1.2 
Name40	Name24	23.2 
Name40	Name25	3.1 
Name40	Name26	8.1 
Name40	Name27	39.5 
Name40	Name28	1.0 
Name40	Name29	1.7 
Name40	Name30	20.1 
Name40	Name31	4.4 
Name40	Name32	0.0 
Name40	Name33	3.4 
Name40	Name34	2.1 
Name40	Name35	1.1 
Name40	Name36	0.6 
Name40	Name37	13.7 
Name41	Name1	546.4 
Name41	Name38	290.5 
Name41	Name39	203.6 
Name41	Name40	111.9 
Name41	Name2	560.6 
Name41	Name3	255.5 
Name41	Name4	107.9 
Name41	Name5	75.9 
Name41	Name6	43.8 
Name41	Name7	219.0 
Name41	Name8	128.9 
Name41	Name9	74.5 
Name41	Name10	161.3 
Name41	Name11	148.2 
Name41	Name12	73.6 
Name41	Name13	65.0 
Name41	Name14	2.5 
Name41	Name15	46.0 
Name41	Name16	74.2 
Name41	Name17	25.7 
Name41	Name18	25.7 
Name41	Name19	23.9 
Name41	Name20	35.9 
Name41	Name21	142.2 
Name41	Name22	15.7 
Name41	Name23	39.9 
Name41	Name24	33.7 
Name41	Name25	6.4 
Name41	Name26	8.7 
Name41	Name27	134.5 
Name41	Name28	14.7 
Name41	Name29	9.9 
Name41	Name30	59.5 
Name41	Name31	58.2 
Name41	Name32	8.6 
Name41	Name33	28.7 
Name41	Name34	9.4 
Name41	Name35	15.1 
Name41	Name36	9.1 
Name41	Name37	53.3 
Name2	Name1	261.4 
Name2	Name38	85.7 
Name2	Name39	17.8 
Name2	Name40	68.8 
Name2	Name41	140.4 
Name2	Name3	19.0 
Name2	Name4	11.3 
Name2	Name5	3.7 
Name2	Name6	27.6 
Name2	Name7	26.4 
Name2	Name8	12.8 
Name2	Name9	5.1 
Name2	Name10	27.6 
Name2	Name11	2.9 
Name2	Name12	12.5 
Name2	Name13	45.3 
Name2	Name14	0.0 
Name2	Name15	6.1 
Name2	Name16	5.4 
Name2	Name17	4.1 
Name2	Name18	0.9 
Name2	Name19	9.1 
Name2	Name20	1.2 
Name2	Name21	27.5 
Name2	Name22	0.9 
Name2	Name23	6.8 
Name2	Name24	4.8 
Name2	Name25	0.0 
Name2	Name26	3.0 
Name2	Name27	24.4 
Name2	Name28	0.0 
Name2	Name29	0.7 
Name2	Name30	7.7 
Name2	Name31	3.2 
Name2	Name32	0.0 
Name2	Name33	1.9 
Name2	Name34	2.1 
Name2	Name35	1.4 
Name2	Name36	1.1 
Name2	Name37	13.8 
Name3	Name1	68.5 
Name3	Name38	45.0 
Name3	Name39	27.3 
Name3	Name40	19.4 
Name3	Name41	81.0 
Name3	Name2	25.3 
Name3	Name4	15.8 
Name3	Name5	2.0 
Name3	Name6	19.8 
Name3	Name7	9.7 
Name3	Name8	13.9 
Name3	Name9	6.4 
Name3	Name10	32.9 
Name3	Name11	8.4 
Name3	Name12	1.2 
Name3	Name13	3.3 
Name3	Name14	1.0 
Name3	Name15	9.6 
Name3	Name16	6.5 
Name3	Name17	7.9 
Name3	Name18	1.6 
Name3	Name19	0.7 
Name3	Name20	6.4 
Name3	Name21	5.5 
Name3	Name22	0.0 
Name3	Name23	0.0 
Name3	Name24	10.3 
Name3	Name25	2.6 
Name3	Name26	9.3 
Name3	Name27	24.8 
Name3	Name28	0.0 
Name3	Name29	0.0 
Name3	Name30	5.9 
Name3	Name31	3.3 
Name3	Name32	1.3 
Name3	Name33	1.2 
Name3	Name34	0.7 
Name3	Name35	2.7 
Name3	Name36	2.0 
Name3	Name37	1.2 
Name4	Name1	28.1 
Name4	Name38	22.9 
Name4	Name39	23.3 
Name4	Name40	5.6 
Name4	Name41	30.9 
Name4	Name2	6.1 
Name4	Name3	6.6 
Name4	Name5	8.2 
Name4	Name6	7.3 
Name4	Name7	2.3 
Name4	Name8	4.9 
Name4	Name9	7.2 
Name4	Name10	47.9 
Name4	Name11	4.1 
Name4	Name12	1.7 
Name4	Name13	2.6 
Name4	Name14	0.0 
Name4	Name15	11.9 
Name4	Name16	3.1 
Name4	Name17	1.0 
Name4	Name18	0.0 
Name4	Name19	0.0 
Name4	Name20	2.3 
Name4	Name21	4.8 
Name4	Name22	1.3 
Name4	Name23	1.3 
Name4	Name24	3.4 
Name4	Name25	0.0 
Name4	Name26	1.1 
Name4	Name27	5.0 
Name4	Name28	0.0 
Name4	Name29	0.0 
Name4	Name30	6.7 
Name4	Name31	1.2 
Name4	Name32	0.0 
Name4	Name33	0.0 
Name4	Name34	0.0 
Name4	Name35	0.0 
Name4	Name36	0.0 
Name4	Name37	0.0 
Name5	Name1	57.8 
Name5	Name38	140.4 
Name5	Name39	128.4 
Name5	Name40	66.9 
Name5	Name41	319.9 
Name5	Name2	87.7 
Name5	Name3	93.8 
Name5	Name4	26.7 
Name5	Name6	118.8 
Name5	Name7	12.1 
Name5	Name8	28.2 
Name5	Name9	1.0 
Name5	Name10	36.2 
Name5	Name11	10.9 
Name5	Name12	4.5 
Name5	Name13	3.2 
Name5	Name14	8.5 
Name5	Name15	11.0 
Name5	Name16	19.6 
Name5	Name17	8.6 
Name5	Name18	0.0 
Name5	Name19	4.9 
Name5	Name20	15.6 
Name5	Name21	24.5 
Name5	Name22	0.8 
Name5	Name23	2.5 
Name5	Name24	16.8 
Name5	Name25	0.0 
Name5	Name26	7.5 
Name5	Name27	37.0 
Name5	Name28	8.1 
Name5	Name29	0.8 
Name5	Name30	30.8 
Name5	Name31	40.2 
Name5	Name32	0.0 
Name5	Name33	0.0 
Name5	Name34	0.0 
Name5	Name35	12.2 
Name5	Name36	2.6 
Name5	Name37	2.7 
Name6	Name1	62.9 
Name6	Name38	28.2 
Name6	Name39	11.8 
Name6	Name40	12.5 
Name6	Name41	40.1 
Name6	Name2	31.1 
Name6	Name3	10.8 
Name6	Name4	3.1 
Name6	Name5	3.5 
Name6	Name7	27.1 
Name6	Name8	11.8 
Name6	Name9	6.8 
Name6	Name10	16.8 
Name6	Name11	2.4 
Name6	Name12	4.0 
Name6	Name13	5.7 
Name6	Name14	0.0 
Name6	Name15	9.0 
Name6	Name16	3.1 
Name6	Name17	3.7 
Name6	Name18	2.3 
Name6	Name19	0.0 
Name6	Name20	3.5 
Name6	Name21	3.3 
Name6	Name22	1.7 
Name6	Name23	2.5 
Name6	Name24	4.2 
Name6	Name25	2.2 
Name6	Name26	1.2 
Name6	Name27	4.1 
Name6	Name28	0.0 
Name6	Name29	0.0 
Name6	Name30	12.9 
Name6	Name31	2.1 
Name6	Name32	0.0 
Name6	Name33	0.0 
Name6	Name34	2.8 
Name6	Name35	0.6 
Name6	Name36	0.0 
Name6	Name37	3.6 
Name7	Name1	708.7 
Name7	Name38	202.6 
Name7	Name39	65.0 
Name7	Name40	45.1 
Name7	Name41	198.3 
Name7	Name2	295.0 
Name7	Name3	127.3 
Name7	Name4	83.2 
Name7	Name5	20.7 
Name7	Name6	51.8 
Name7	Name8	274.1 
Name7	Name9	133.9 
Name7	Name10	844.4 
Name7	Name11	595.3 
Name7	Name12	382.2 
Name7	Name13	276.8 
Name7	Name14	13.9 
Name7	Name15	421.3 
Name7	Name16	85.0 
Name7	Name17	66.1 
Name7	Name18	5.5 
Name7	Name19	10.5 
Name7	Name20	19.8 
Name7	Name21	45.8 
Name7	Name22	8.8 
Name7	Name23	75.0 
Name7	Name24	16.2 
Name7	Name25	54.5 
Name7	Name26	21.1 
Name7	Name27	161.3 
Name7	Name28	7.7 
Name7	Name29	40.5 
Name7	Name30	33.8 
Name7	Name31	37.9 
Name7	Name32	18.6 
Name7	Name33	4.8 
Name7	Name34	5.3 
Name7	Name35	13.1 
Name7	Name36	12.3 
Name7	Name37	48.9 
Name8	Name1	205.8 
Name8	Name38	72.6 
Name8	Name39	40.5 
Name8	Name40	58.7 
Name8	Name41	162.8 
Name8	Name2	165.8 
Name8	Name3	106.2 
Name8	Name4	20.7 
Name8	Name5	22.9 
Name8	Name6	30.6 
Name8	Name7	203.5 
Name8	Name9	33.2 
Name8	Name10	203.1 
Name8	Name11	180.4 
Name8	Name12	74.5 
Name8	Name13	95.4 
Name8	Name14	32.4 
Name8	Name15	45.7 
Name8	Name16	19.2 
Name8	Name17	24.5 
Name8	Name18	4.8 
Name8	Name19	25.9 
Name8	Name20	20.5 
Name8	Name21	77.1 
Name8	Name22	3.4 
Name8	Name23	12.7 
Name8	Name24	13.4 
Name8	Name25	8.5 
Name8	Name26	8.5 
Name8	Name27	79.5 
Name8	Name28	1.4 
Name8	Name29	17.7 
Name8	Name30	8.7 
Name8	Name31	19.7 
Name8	Name32	1.0 
Name8	Name33	7.1 
Name8	Name34	2.6 
Name8	Name35	26.8 
Name8	Name36	12.0 
Name8	Name37	17.9 
Name9	Name1	96.6 
Name9	Name38	80.6 
Name9	Name39	69.1 
Name9	Name40	51.1 
Name9	Name41	155.3 
Name9	Name2	297.0 
Name9	Name3	117.0 
Name9	Name4	38.7 
Name9	Name5	23.6 
Name9	Name6	45.6 
Name9	Name7	100.4 
Name9	Name8	84.3 
Name9	Name10	334.4 
Name9	Name11	42.3 
Name9	Name12	23.4 
Name9	Name13	63.4 
Name9	Name14	0.7 
Name9	Name15	87.6 
Name9	Name16	48.5 
Name9	Name17	28.9 
Name9	Name18	6.2 
Name9	Name19	14.5 
Name9	Name20	84.2 
Name9	Name21	161.4 
Name9	Name22	11.7 
Name9	Name23	23.6 
Name9	Name24	37.1 
Name9	Name25	10.4 
Name9	Name26	12.3 
Name9	Name27	226.5 
Name9	Name28	3.2 
Name9	Name29	46.5 
Name9	Name30	40.3 
Name9	Name31	35.3 
Name9	Name32	14.2 
Name9	Name33	11.6 
Name9	Name34	7.9 
Name9	Name35	37.8 
Name9	Name36	9.1 
Name9	Name37	37.1 
Name10	Name1	174.6 
Name10	Name38	40.7 
Name10	Name39	11.9 
Name10	Name40	24.8 
Name10	Name41	95.5 
Name10	Name2	59.1 
Name10	Name3	43.7 
Name10	Name4	13.2 
