Class	log2FC	rawpval
EEE	2.0563	3.09E-16
EEE	2.0383	6.69E-15
EEE	2.0132	1.11E-18
EEE	1.9928	1.50E-07
EEE	1.9885	3.77E-14
EEE	1.9506	3.77E-12
EEE	1.8896	7.84E-14
EEE	1.8862	7.21E-14
EEE	1.8457	8.49E-13
EEE	1.7867	5.41E-14
EEE	1.7844	3.17E-10
EEE	1.7832	3.34E-12
EEE	1.7466	3.78E-05
EEE	1.6344	8.53E-08
EEE	1.6304	0.0001336
EEE	1.607	2.42E-06
EEE	1.5587	9.01E-09
EEE	1.5506	7.17E-12
EEE	1.5108	2.59E-12
EEE	1.4559	2.70E-09
EEE	1.4364	2.17E-09
EEE	1.4069	1.34E-10
EEE	1.4027	4.82E-09
EEE	1.3458	4.86E-06
EEE	1.322	1.48E-06
EEE	1.2593	1.00E-05
EEE	1.253	3.99E-09
EEE	1.2258	7.44E-11
EEE	1.2255	1.56E-09
EEE	1.2229	1.14E-11
EEE	1.21	1.31E-07
EEE	1.1684	5.06E-11
EEE	1.1653	4.76E-11
EEE	1.1653	4.76E-11
EEE	1.1614	5.70E-09
EEE	1.1436	2.17E-10
EEE	1.1365	2.15E-07
EEE	1.1365	2.15E-07
EEE	1.1195	8.03E-09
EEE	1.0884	1.63E-12
EEE	1.083	4.27E-08
EEE	1.0598	4.39E-07
EEE	-1.0074	3.51E-08
EEE	-1.0099	2.64E-11
EEE	-1.0407	1.18E-09
EEE	-1.0495	5.50E-08
EEE	-1.1109	1.39E-06
EEE	-1.1241	2.03E-07
EEE	-1.2136	4.99E-09
EEE	-1.2521	3.57E-08
EEE	-1.2648	7.55E-09
EEE	-1.296	4.01E-11
EEE	-1.3022	1.79E-07
EEE	-1.3127	2.59E-08
EEE	-1.348	1.80E-10
EEE	-1.363	1.97E-09
EEE	-1.3833	2.59E-09
EEE	-1.4738	1.19E-10
EEE	-1.4743	2.09E-11
EEE	-1.5072	4.70E-08
EEE	-1.5765	1.35E-08
EEE	-1.6402	5.60E-12
EEE	-1.6652	4.29E-13
EEE	-1.6869	1.72E-15
EEE	-1.6934	3.98E-15
EEE	-1.7308	1.58E-14
EEE	-1.7372	1.98E-05
EEE	-1.7389	3.58E-13
EEE	-1.7423	5.27E-13
EEE	-1.7802	6.33E-11
EEE	-1.7847	7.08E-09
EEE	-1.7984	1.27E-05
EEE	-1.8069	1.75E-13
EEE	-1.9562	1.87E-14
EEE	-1.9632	6.07E-15
EEE	-1.9749	3.83E-08
EEE	-1.9755	3.39E-08
EEE	-1.977	8.24E-07
EEE	-2.0425	6.73E-15
EEE	-2.0557	5.84E-13
EEE	-2.2302	6.38E-17
EEE	-2.2317	5.93E-07
EEE	-2.2735	2.72E-11
EEE	-2.3345	1.31E-07
EEE	-2.6828	1.07E-15
EEE	-2.8017	1.24E-18
EEE	-3.0447	1.37E-07
FFF	-1.4951	4.38E-06
FFF	-1.4951	4.38E-06
GGG	1.8381	5.63E-10
GGG	1.3664	2.50E-05
GGG	1.2527	8.41E-05
GGG	1.1609	2.74E-06
GGG	1.0228	4.96E-07
GGG	-1.0431	4.98E-10
GGG	-1.0611	1.77E-06
GGG	-1.1179	6.42E-08
GGG	-1.1349	8.14E-06
GGG	-1.1582	2.38E-13
GGG	-1.3517	1.85E-07
GGG	-1.5109	6.90E-10
GGG	-1.5465	1.82E-10
GGG	-1.8054	2.58E-07
GGG	-2.3407	3.49E-08
GGG	-3.6971	7.13E-12
HHH	1.602	8.86E-06
HHH	1.4288	5.38E-05
HHH	1.0986	2.87E-05
HHH	-1.0316	2.74E-05
HHH	-1.1732	1.47E-12
HHH	-1.2346	0.00019055
HHH	-1.2756	2.92E-05
HHH	-1.3034	2.70E-05
HHH	-1.4867	0.00016101
HHH	-1.6883	1.25E-06
III	3.2394	1.32E-12
III	2.3804	6.19E-16
III	1.8899	4.48E-08
III	1.745	5.11E-11
III	1.3824	8.67E-09
III	1.3699	5.23E-12
III	1.3347	3.80E-09
III	1.3186	2.16E-10
III	1.2986	2.42E-11
III	1.2404	2.37E-12
III	1.0236	4.98E-05
III	-1.0606	6.96E-12
III	-1.2151	0.00026473
III	-1.2679	2.50E-05
III	-1.4108	0.0011639
III	-1.4123	3.51E-13
III	-1.4976	0.00020918
III	-1.6098	4.19E-14
III	-1.8474	1.13E-07
III	-2.4719	2.32E-14
III	-2.5308	2.60E-14
III	-3.1691	9.20E-07
